Case,SP,Coarse Agg,Fine Agg,Age
1,2.5,1040,676,28
2,2.5,1055,676,28
3,0,932,594,270
4,0,932,594,365
5,0,978.4,825.5,360
6,0,932,670,90
7,0,932,594,365
8,0,932,594,28
9,0,932,670,28
10,0,932,594,28
11,0,978.4,825.5,90
12,0,978.4,825.5,28
13,0,932,594,270
14,0,932,670,90
15,0,932,670,28
16,0,932,670,90
17,0,1047,806.9,90
18,0,932,670,365
19,0,932,594,90
20,0,932,594,180
21,0,932,594,180
22,0,1047,806.9,28
23,0,1047,806.9,3
24,0,1047,806.9,180
25,0,932,670,365
26,0,932,670,270
27,0,932,594,270
28,0,932,670,180
29,0,932,594,28
30,0,932,594,7
31,0,932,670,365
32,0,932,670,365
33,0,978.4,825.5,180
34,0,932,594,270
35,0,932,670,365
36,0,932,594,270
37,0,932,594,28
38,0,932,594,90
39,0,932,594,90
40,0,932,594,180
41,0,932,670,90
42,0,932,594,365
43,0,932,594,365
44,0,932,670,180
45,0,932,594,90
46,0,932,594,7
47,0,1047,806.9,3
48,0,932,594,180
49,0,932,594,7
50,0,932,594,7
51,0,932,594,180
52,0,932,670,180
53,0,932,594,90
54,0,932,670,90
55,0,1047,806.9,7
56,0,978.4,825.5,7
57,0,932,594,365
58,0,978.4,825.5,3
59,0,932,670,180
60,0,932,594,28
61,0,932,670,270
62,0,932,670,270
63,0,971,850.6,3
64,0,932,670,270
65,0,932,670,180
66,0,932,670,270
67,0,1047,806.9,360
68,0,932,594,7
69,0,932,670,28
70,0,1120,800,28
71,10.1,926.1,756.7,3
72,8.6,1046.9,611.8,3
73,16.5,852.1,887.1,3
74,18.6,936,803.7,3
75,23.4,852.1,992.6,3
76,8.9,852.1,781.5,3
77,32.2,852.1,840.5,3
78,16.5,852.1,887.1,3
79,12.1,852.1,925.7,3
80,28.2,852.1,893.7,3
81,16.5,852.1,887.1,3
82,14.3,852.1,880.4,3
83,11.4,946.8,852.1,3
84,11.6,944.7,755.8,3
85,10.3,942.7,659.9,3
86,15.9,1134.3,605,3
87,11.6,944.7,755.8,3
88,11.2,1004.6,803.7,3
89,11.6,944.7,755.8,3
90,11.1,884.9,707.9,3
91,22,944.7,755.8,3
92,11.6,944.7,755.8,3
93,9.5,944.7,755.8,3
94,10.1,926.1,756.7,7
95,8.6,1046.9,611.8,7
96,16.5,852.1,887.1,7
97,18.6,936,803.7,7
98,23.4,852.1,992.6,7
99,8.9,852.1,781.5,7
100,32.2,852.1,840.5,7
101,16.5,852.1,887.1,7
102,12.1,852.1,925.7,7
103,28.2,852.1,893.7,7
104,16.5,852.1,887.1,7
105,14.3,852.1,880.4,7
106,11.4,946.8,852.1,7
107,11.6,944.7,755.8,7
108,10.3,942.7,659.9,7
109,15.9,1134.3,605,7
110,11.6,944.7,755.8,7
111,11.2,1004.6,803.7,7
112,11.6,944.7,755.8,7
113,11.1,884.9,707.9,7
114,22,944.7,755.8,7
115,11.6,944.7,755.8,7
116,9.5,944.7,755.8,7
117,10.1,926.1,756.7,28
118,8.6,1046.9,611.8,28
119,16.5,852.1,887.1,28
120,18.6,936,803.7,28
121,23.4,852.1,992.6,28
122,8.9,852.1,781.5,28
123,32.2,852.1,840.5,28
124,16.5,852.1,887.1,28
125,12.1,852.1,925.7,28
126,28.2,852.1,893.7,28
127,16.5,852.1,887.1,28
128,14.3,852.1,880.4,28
129,11.4,946.8,852.1,28
130,11.6,944.7,755.8,28
131,10.3,942.7,659.9,28
132,15.9,1134.3,605,28
133,11.6,944.7,755.8,28
134,11.2,1004.6,803.7,28
135,11.6,944.7,755.8,28
136,11.1,884.9,707.9,28
137,22,944.7,755.8,28
138,11.6,944.7,755.8,28
139,9.5,944.7,755.8,28
140,10.1,926.1,756.7,56
141,8.6,1046.9,611.8,56
142,16.5,852.1,887.1,56
143,18.6,936,803.7,56
144,23.4,852.1,992.6,56
145,8.9,852.1,781.5,56
146,32.2,852.1,840.5,56
147,16.5,852.1,887.1,56
148,12.1,852.1,925.7,56
149,28.2,852.1,893.7,56
150,16.5,852.1,887.1,56